"label","mean position","mean position in standard space","label: area: total","label: mean curvature: median (weighted)","label: mean curvature: median absolute deviation (weighted)","label: mean curvature: mean (weighted)","label: mean curvature: standard deviation (weighted)","label: mean curvature: skew (weighted)","label: mean curvature: kurtosis (weighted)","label: mean curvature: lower quartile (weighted)","label: mean curvature: upper quartile (weighted)","label: travel depth: median (weighted)","label: travel depth: median absolute deviation (weighted)","label: travel depth: mean (weighted)","label: travel depth: standard deviation (weighted)","label: travel depth: skew (weighted)","label: travel depth: kurtosis (weighted)","label: travel depth: lower quartile (weighted)","label: travel depth: upper quartile (weighted)","label: geodesic depth: median (weighted)","label: geodesic depth: median absolute deviation (weighted)","label: geodesic depth: mean (weighted)","label: geodesic depth: standard deviation (weighted)","label: geodesic depth: skew (weighted)","label: geodesic depth: kurtosis (weighted)","label: geodesic depth: lower quartile (weighted)","label: geodesic depth: upper quartile (weighted)","label: convexity: median (weighted)","label: convexity: median absolute deviation (weighted)","label: convexity: mean (weighted)","label: convexity: standard deviation (weighted)","label: convexity: skew (weighted)","label: convexity: kurtosis (weighted)","label: convexity: lower quartile (weighted)","label: convexity: upper quartile (weighted)","label: thickness: median (weighted)","label: thickness: median absolute deviation (weighted)","label: thickness: mean (weighted)","label: thickness: standard deviation (weighted)","label: thickness: skew (weighted)","label: thickness: kurtosis (weighted)","label: thickness: lower quartile (weighted)","label: thickness: upper quartile (weighted)","label spectrum","label spectrum (normalized)"
"0","[-13.792178401321479, 6.2222378950216575, -11.214553174769305]","[-12.727594486225247, -16.917588870896505, -4.970048713741264]","7379.33020247","-2.27696","1.86625","-2.53594104489","8.86297710407","-19.8759246331","263.723230736","-4.49172","-0.647279","2.49363","2.34082","5.0852859015","34.6314338494","145.412326959","3099.10916596","0.453501","8.04508","0.0953134","0.08910074","0.160574771633","0.0318549746541","0.00495181744815","0.00320295040857","0.0272174","0.237124","-0.285486519337","0.318179924041","-0.21009677088","0.279611523734","-0.0057381188171","0.19587726741","-0.576955974102","0.0702154263854","2.15161705017","1.95070171356","2.0302702683","3.04330614566","3.14711670063","16.5232071109","0.0","3.45761156082","",""
"2","[1.48880281347128, 26.475740044298654, 33.356605322817714]","[2.144747013359604, 17.66158849066041, 23.28282025487861]","1123.7778724","-1.28936","0.866194","-1.83644778532","2.60623077366","-4.83193088371","20.7199002665","-2.90369","-0.638938","0.283543","0.2287851","0.949783389147","2.27296532264","6.66379586375","32.9352415468","0.115476","0.971185","0.00646819","0.0063819105","0.0311625031835","0.00169269592041","0.000103006411097","1.32378070629e-05","0.00263425","0.0432228","-0.212935477495","0.0809015929699","-0.181080652054","0.0258207931272","0.0036297319143","0.00260639850992","-0.293459534645","-0.130897581577","2.05742645264","1.28435468674","1.49062163433","1.88100615447","-0.178431765046","4.47107456004","0.0","2.67209088802","",""
"3","[-30.471734180217894, 28.909800463401773, 54.01843054929572]","[-26.986237686839004, 29.257388952922856, 38.601190913309836]","3264.8374824","-3.81943","2.28014","-3.5142207558","11.6253378523","-36.2851126165","299.676755114","-5.84106","-1.33294","3.11553","3.008237","4.98911457407","31.3031589734","-22.092979857","1873.43199424","0.222693","8.58791","0.0903427","0.08742946","0.130895109729","0.0195807017535","-0.000520153540172","0.000725706184114","0.00508007","0.223318","-0.296743392944","0.376733243465","-0.265809862739","0.346914109544","-0.180143122638","0.27158856987","-0.658246636391","0.0956878215075","2.97376537323","0.329408884048","2.8509443201","0.301474910253","0.0125284804625","0.207046781367","2.51145648956","3.24050593376","",""
"5","[-10.600517527689572, -66.99320039685843, -3.615026673254878]","[-12.34600197354897, -79.6979058622996, 32.61682296907805]","2532.7793963","-3.51534","1.86471","-3.38430779346","8.50494801322","-20.8443770751","206.591148556","-5.34458","-1.6267","2.19908","2.1430055","3.9883505269","23.752823955","52.0105245636","1311.67413924","0.142209","5.93113","0.0681716","0.06653692","0.112835130016","0.017727956086","0.00120440565549","0.000827486332239","0.00324407","0.167925","-0.565374195576","0.279136180878","-0.452916221813","0.252766021047","-0.0171848697818","0.142453142977","-0.781640172005","-0.195483326912","2.01422023773","0.48956990242","2.08266471261","0.709442223848","0.695149212658","2.46088421091","1.52492666245","2.50406646729","",""
"6","[-35.133170783867534, 26.433645533685898, -22.19171547972931]","[-31.614291720802186, -2.0628653991352564, -23.033155211473623]","535.5755811","-3.25538","2.277626","-2.60317808947","15.5502869958","-59.6839525629","460.572967804","-4.94003","-0.243936","6.49068","3.51292","5.85843374422","20.4019864372","-117.851003154","942.784823904","1.3847","9.45709","0.183718","0.086863","0.163206805216","0.0148317239193","-0.00227667777174","0.000513351664799","0.054112","0.25292","0.0986976847053","0.42006316036","0.0416290397629","0.373924643272","-0.310351059134","0.367175801576","-0.395028322935","0.464869707823","2.62497472763","0.729658603668","2.87964195467","0.958890839645","0.990533659041","2.19333425514","2.09927272797","3.74476385117","",""
"7","[-34.80370528182062, -27.347837175417776, -32.09841259587472]","[-33.235325934474474, -54.04498872050398, -8.185347874426515]","4048.7378031","-3.78986","1.93163","-3.51827104171","8.76972653259","-19.6248860609","179.332591802","-5.55466","-1.67593","2.90602","2.646514","4.21379711454","19.3609881586","-10.0246150254","726.790098905","0.609535","6.90536","0.0991488","0.0721459","0.119882951632","0.0118983780568","-0.000373102359515","0.000280780563258","0.0327178","0.185812","-0.231064245105","0.276542618871","-0.191314957673","0.218419526085","-0.070883163683","0.110865042319","-0.48979690671","0.0674799904227","2.6679353714","0.392175197601","2.69061184904","0.427921025273","0.230993378001","0.738705551902","2.27188634872","3.05805873871","",""
"8","[-41.58716971587655, -48.946905305416756, 11.498140880877175]","[-40.056042793410604, -56.30213344956638, 36.72530098254134]","4841.1390591","-3.6223","2.26715","-3.41552050612","11.4553771636","-29.1397692793","284.398091175","-5.90601","-1.38364","5.35436","5.115358","7.12949928157","52.2179218537","-109.092611836","4625.97670593","0.72029","11.9048","0.137998","0.13193976","0.18221836935","0.0320829797911","-0.00155329697994","0.00177387760647","0.0292083","0.3022","-0.279184103012","0.385523498058","-0.170286282513","0.431903487471","-0.147453286301","0.385633926277","-0.624164521694","0.179935485125","2.59685659409","0.318150043488","2.58704342735","0.234007441701","0.0619375176902","0.154928059491","2.26601362228","2.90186238289","",""
"9","[-51.01136261160444, -10.90819243703049, -23.973896912570357]","[-47.482619730868166, -35.45507676342715, -8.847172306070265]","4334.2319074","-4.25028","1.94146","-3.9581086014","9.13130000932","-23.2798668216","190.905407308","-6.0215","-2.02374","1.42963","1.4000703","3.56415889769","23.0566015736","28.4247711564","1225.73989657","0.100329","5.78556","0.0499463","0.049026246","0.0958837453669","0.0148156027611","0.000355723058927","0.000507968825689","0.00228871","0.154046","-0.359333664179","0.276363663375","-0.312773586327","0.252746372295","-0.0855373792091","0.172655971359","-0.620115697384","-0.055895395577","3.04331970215","0.483505249023","3.04552941584","0.431380299535","0.150187752388","0.491132950101","2.55566883087","3.51992416382","",""
"10","[-8.453460023899826, -34.13276838082451, -1.8157735273752373]","[-9.218485035877638, -49.68110470595323, 20.095740100435428]","1145.7688715","-2.69819","1.41493","-2.54206887919","6.54087271273","-5.70301626822","117.932319152","-4.24389","-1.42296","6.32591","4.7491","7.33363276612","40.3411196812","-76.7691411577","2982.98916912","1.75876","11.3656","0.181139","0.111276","0.202054321109","0.0248111825937","-0.00108210943572","0.00129524184142","0.075544025","0.300642","0.0206266138703","0.412972202525","0.10029245457","0.326173049707","-0.156471479512","0.242922350977","-0.258820451796","0.520465195179","2.54756116867","0.463514089584","2.52568724508","0.522713605779","0.0906045467853","0.814460163169","2.08064460754","3.00585722923","",""
"11","[-33.948654564682535, -58.08351459512706, -20.992697212408178]","[-33.491450697701524, -77.33277137960242, 14.086358760328697]","5225.2651077","-3.19969","1.73617","-3.05571397782","7.97438923839","-15.7104023115","167.290261986","-4.90172","-1.41348","3.98338","3.87299","4.99218950494","24.9674231402","10.3457544583","1348.63179843","0.176584","8.37324","0.108119","0.10541159","0.133386259405","0.0167867462815","0.000266355509767","0.000661105068864","0.00402825","0.224812","-0.205730304122","0.336889490485","-0.149762855798","0.236775389376","-0.055045236488","0.120821354038","-0.515847980976","0.175097614527","2.33470964432","0.30358839035","2.3143736749","0.208205988225","0.0322456380045","0.13278935681","2.0082783699","2.61608695984","",""
"12","[-16.405378614923173, 45.82138982707, -0.4737501770116709]","[-13.694345503574926, 22.79142572502659, -13.11685955521168]","2556.80683836","-2.76782","1.24288","-2.74052078382","6.10961684313","-5.28964850897","135.572280494","-4.14997","-1.67341","7.79886","5.13774","8.44751301334","37.7601543288","-73.6560837043","2522.62758629","2.97838","13.2555","0.2542","0.159204","0.279655506827","0.0380083995361","-0.00054903186912","0.00248347281865","0.1100535","0.436765","-0.0539526119828","0.25497353822","-0.0351020491914","0.163899882238","-0.0354778714715","0.0771991561558","-0.289055407047","0.219900041819","2.97283315659","0.43200302124","2.98163870435","0.776861884532","-0.366846897927","2.86227085011","2.54420745373","3.41006088257","",""
"13","[-11.975901186358367, -48.3587866898634, -29.499228266670354]","[-13.043746543340088, -72.90682876227748, 3.3658743298022813]","3774.75458333","-3.08152","1.50965","-2.88793202473","6.60844126322","-6.74210911038","132.274013507","-4.48486","-1.44227","2.8181","2.606354","4.42977468208","21.4367556483","49.9122822184","1279.10068735","0.668948","7.17232","0.0975178","0.0773145","0.129629738998","0.0154315641904","0.00121982469355","0.00083908191223","0.0300004","0.199608","-0.28662520647","0.334792494774","-0.271307796661","0.238743002457","-0.0335159147208","0.140155249201","-0.637915670872","0.0334555096924","1.67559814453","0.422031641006","1.69719568356","0.384658180566","-0.0520936297782","0.500511420355","1.27840352058","2.12465906143","",""
"14","[-4.0056769724452215, 41.36941214710403, -0.710612285979571]","[-2.488069390827577, 18.144477714280796, -11.170910704709591]","1618.5964542","-2.24653","2.1478643","-2.15434964553","7.92307910997","-12.807369963","134.256838927","-4.40287","-0.107386","2.48629","2.378872","4.49563059571","27.3276683389","83.0403432831","1849.9894485","0.326722","6.92048","0.087304","0.08344882","0.141014173435","0.0264376227781","0.00423224806262","0.00266656388684","0.0199444","0.203298","-0.288552075624","0.252025812864","-0.240915785893","0.156031058849","-0.00613104143011","0.0593070086383","-0.513343393803","-0.013839633204","2.42068338394","0.65390753746","2.06161370928","1.54791057844","-0.394681143333","5.0532684945","1.34130227566","2.909304142","",""
"15","[-53.45689571631458, -8.261553944963046, -9.005667538217521]","[-49.577971769886354, -27.214836262934995, 2.270628789080458]","4303.0500549","-3.21175","1.95092","-3.23560897239","10.1939516582","-34.2184564182","278.329912034","-5.14842","-1.241","7.0655","6.0245","7.83046346485","50.1266460577","-174.8764767","4261.5751384","1.01824","13.0527","0.183111","0.1496096","0.20430452931","0.0326592968761","-0.0027016720327","0.00184085562394","0.0362337","0.337844","-0.169146224856","0.362341448665","-0.108588584271","0.358305123468","-0.135779422815","0.285351635663","-0.505979657173","0.219523519278","2.84102869034","0.45802283287","2.89299046801","0.475408066645","0.317151636931","0.726379600889","2.39883685112","3.31912612915","",""
"16","[-22.881170996285785, -11.033032961698652, -22.65858836193248]","[-21.703143939327816, -36.35290812900651, -7.172729960089101]","1165.6128025","-3.40895","1.32158","-3.19679458703","7.13528452799","-14.6468754254","137.522491913","-4.61492","-1.95784","4.37469","3.15904","4.88660154705","16.937531471","-41.9033621693","494.76308759","1.31741","7.8261","0.144383","0.079403","0.152220984903","0.011191950568","-0.000881457567143","0.000247668824249","0.0684696","0.225811","0.0191147979349","0.222645068541","0.0678960880924","0.168567639578","-0.0567670262182","0.0717132007892","-0.164631634951","0.28620749712","2.69109082222","0.302528142929","2.74494621591","0.249939999152","0.114908817576","0.21683304342","2.4089653492","3.0349779129","",""
"17","[-6.293875582046823, -19.346595285439992, 43.122784680595004]","[-6.5615481998440135, -19.253372304913597, 50.73426175226646]","1790.067613","-2.39103","1.56549","-1.96158169109","6.73326630868","-9.73430013538","99.7859488438","-3.72968","-0.452328","4.85964","4.04774","5.77327445458","25.8878837736","-48.4283829508","1138.6101773","1.21914","9.70028","0.138983","0.0998718","0.157185828339","0.0160266563203","-0.000945581065871","0.000450730328503","0.0489912","0.253157","0.0376735553145","0.350951306522","0.0957903201386","0.26229393085","-0.0869280908811","0.144887474368","-0.286455392838","0.44424110651","2.55717992783","0.391318559647","2.56225540786","0.339682203427","0.12788645398","0.355594438314","2.17047929764","2.94948935509","",""
"18","[-39.80787913695596, 34.342514273531435, 26.69159419308308]","[-35.44795662431016, 24.038326786127264, 13.652907849486633]","1989.2552009","-3.79851","2.24372","-3.77452250631","10.1582463746","-29.3951803736","219.23431053","-6.21217","-1.7192","7.59679","4.91541","8.84715423728","52.6687518131","-100.389028286","5344.16370264","3.12772","12.9987","0.218951","0.1254999","0.246803113526","0.0374039741899","-0.00149558458591","0.00299549785111","0.0995647","0.356842","-0.28994306922","0.320548325777","-0.232046816298","0.304207617214","-0.0993684498942","0.208845260794","-0.59284645319","0.0490338429809","2.83750844002","0.342891216278","2.80863083561","0.247024118027","0.0687293716201","0.160697039157","2.4599146843","3.15140151978","",""
"19","[-29.2824984850149, 47.1363065124687, 8.287133913710397]","[-25.418146018966763, 27.930471734218322, -6.729556391695066]","905.3505545","-3.91663","1.42613","-3.53479349473","6.73747781598","-8.74034175704","123.650788105","-5.10274","-2.07565","11.5117","6.18214","12.6997004909","56.0671721101","-224.880066163","5567.08730504","6.29047","19.238425","0.3737885","0.1710505","0.398136599558","0.0487131630463","-0.002912118672","0.00459371960586","0.222414","0.570623","-0.188541159034","0.321472302079","-0.0497569786009","0.266488633292","-0.0491300876392","0.134519087081","-0.420831471682","0.312743961811","3.10066270828","0.386477470398","3.14445618394","0.389241865452","0.207540027537","0.602045165617","2.69882631302","3.47044181824","",""
"20","[-37.61168214106744, 50.93116751545696, 21.623948162509873]","[-32.870879246072164, 36.84148337762576, 2.4444374062574115]","1924.3168144","-3.87313","2.67933","-3.57963262967","13.1222205108","-41.4299869645","339.655879217","-6.54611","-1.1938","4.46706","4.344538","6.86041883726","62.7704731953","-123.185430558","7055.51999141","0.371044","11.2558","0.122796","0.11884083","0.176092163472","0.039054240713","-0.00112992306536","0.00313768568374","0.0224117","0.280154","-0.393415987492","0.481569051743","-0.24760375943","0.589769524954","-0.283453426572","0.629668656653","-0.818091571331","0.212232738733","2.76868963242","0.37110877037","2.75259604535","0.260670039239","0.0674746733188","0.18401691947","2.37113189697","3.12218618393","",""
"21","[-7.462022112867978, -61.70574680376581, -22.77823834399298]","[-9.351903331649275, -82.47954402564598, 14.676360718660115]","1693.4111444","-2.6923","1.98328","-2.56921274907","8.48458347775","-18.4117861287","162.685094372","-4.56035","-0.638608","2.53074","2.457966","3.88745672705","18.0191670194","11.9182715194","676.328319759","0.271354","6.44913","0.0786215","0.07597894","0.10949047074","0.0122567585854","9.89772533764e-05","0.000294870424923","0.00619014","0.182434","-0.506812930107","0.299598932266","-0.347484804369","0.29551164947","-0.0138924164608","0.162964565076","-0.755780369043","-0.00853893253952","1.37122058868","0.360298991203","1.52906467539","0.511866135036","0.24876447707","1.09479543673","1.09793066978","1.92561793327","",""
"22","[-37.51683282009995, -13.340261454663679, 40.620717162905876]","[-34.97303919719128, -13.403726800392558, 45.51251924133962]","5832.1182254","-2.97931","2.17969","-2.69509110408","9.19159118388","-8.16910113212","188.197090797","-5.09309","-0.687289","3.9237","3.8328767","6.00131930932","40.5144993827","122.302890762","4090.66735676","0.243327","10.1977","0.105134","0.10262489","0.154564866328","0.0260126896173","0.00235603140079","0.0019171433402","0.00555077","0.254759","-0.300201371312","0.427507326007","-0.195498569247","0.36226480642","-0.0445416133097","0.268599518231","-0.672378480434","0.234442159534","2.34803771973","0.504672288895","2.32019144435","0.476712094909","0.0295039256373","0.51305506836","1.794298172","2.81873488426","",""
"23","[-1.5928242659773042, -15.557837844375687, 29.419370222206194]","[-2.1688038439824546, -21.348389545483116, 37.94912659503811]","1580.5988959","-2.88176","1.45105","-3.07829299463","4.59345605268","-11.4366886608","57.6518892305","-4.4863925","-1.49907","1.28506","1.05394","2.25581351529","5.86258090184","4.99540481733","75.2178971504","0.445563","3.42779","0.0611262","0.0399668","0.0758767856283","0.00406373631862","-1.6415937718e-05","3.3288695388e-05","0.0279543","0.115292","-0.179408118129","0.123650595546","-0.130500398384","0.0521145348644","0.00276581835526","0.00772675404264","-0.28563323617","-0.0236816331744","2.62340021133","0.497085571289","2.37573642283","1.27502157312","-0.760598539436","4.34618234737","2.11172437668","3.10409736633","",""
"24","[-32.07890391785222, 3.7369328604542495, 46.37624158190821]","[-29.369766256123253, 3.851530206335315, 43.04829523734674]","6702.4494859","-3.48589","2.1896","-3.31735106064","10.3423488351","-28.9783092246","238.604462235","-5.67458","-1.29419","5.36968","5.042683","6.88691249145","47.2065364085","-35.4505189829","4527.01928478","0.706523","11.3313","0.147762","0.1261106","0.181547106923","0.0297927178828","-0.000580540316571","0.00181595724978","0.0297569","0.292692","-0.236310631037","0.469614371657","-0.160770701162","0.446751207641","-0.206491977889","0.393187524616","-0.666927754879","0.291089594364","2.86721992493","0.308850288391","2.83130376816","0.203289854793","0.0386391772613","0.104252216441","2.52297878265","3.15022158623","",""
"25","[-9.008623932036743, -46.3361951115109, 16.781054898887792]","[-10.08993569949555, -53.42857091768339, 40.57559889873493]","4437.9877421","-3.0987","2.162889","-2.89906902328","10.8853038519","-29.1289237813","264.176309363","-5.17177","-0.87080425","5.28896","4.564177","6.73704358245","40.8230280412","-39.124084519","3079.38908919","1.13633","10.9795","0.144542","0.1120083","0.188128146796","0.0305979721262","0.000224885105193","0.00188836985453","0.0459856","0.28828225","-0.126527830958","0.402408972383","-0.0907725411616","0.377969808794","-0.174797789789","0.337828032607","-0.4991106987","0.297484964132","2.35891246796","0.30517077446","2.35008710386","0.234510048477","-0.00184180585347","0.253916758777","2.06125736237","2.67337656021","",""
