"label","volume"
"1002","1438.0"
"1003","8227.0"
"1005","4397.0"
"1006","1463.0"
"1007","8978.0"
"1008","11200.0"
"1009","11256.0"
"1011","10993.0"
"1012","6038.0"
"1013","5765.0"
"1014","2617.0"
"1015","10908.0"
"1016","2772.0"
"1017","4380.0"
"1018","4857.0"
"1021","2237.0"
"1022","12233.0"
"1024","17284.0"
"1025","9398.0"
"1028","27548.0"
"1029","9552.0"
"1030","18203.0"
"1031","10447.0"
"1034","1045.0"
"1035","6779.0"
"2002","2782.0"
"2003","6913.0"
"2005","3141.0"
"2006","1414.0"
"2007","8143.0"
"2008","12528.0"
"2009","9110.0"
"2011","11576.0"
"2012","7077.0"
"2013","5579.0"
"2014","4771.0"
"2015","11613.0"
"2016","2178.0"
"2017","5485.0"
"2018","4809.0"
"2021","1933.0"
"2022","10144.0"
"2024","14082.0"
"2025","11444.0"
"2028","32496.0"
"2029","10499.0"
"2030","17882.0"
"2031","9330.0"
"2034","1367.0"
"2035","7927.0"
