"label","mean position","mean position in standard space","sulcus: area: total","sulcus: mean curvature: median (weighted)","sulcus: mean curvature: median absolute deviation (weighted)","sulcus: mean curvature: mean (weighted)","sulcus: mean curvature: standard deviation (weighted)","sulcus: mean curvature: skew (weighted)","sulcus: mean curvature: kurtosis (weighted)","sulcus: mean curvature: lower quartile (weighted)","sulcus: mean curvature: upper quartile (weighted)","sulcus: travel depth: median (weighted)","sulcus: travel depth: median absolute deviation (weighted)","sulcus: travel depth: mean (weighted)","sulcus: travel depth: standard deviation (weighted)","sulcus: travel depth: skew (weighted)","sulcus: travel depth: kurtosis (weighted)","sulcus: travel depth: lower quartile (weighted)","sulcus: travel depth: upper quartile (weighted)","sulcus: geodesic depth: median (weighted)","sulcus: geodesic depth: median absolute deviation (weighted)","sulcus: geodesic depth: mean (weighted)","sulcus: geodesic depth: standard deviation (weighted)","sulcus: geodesic depth: skew (weighted)","sulcus: geodesic depth: kurtosis (weighted)","sulcus: geodesic depth: lower quartile (weighted)","sulcus: geodesic depth: upper quartile (weighted)","sulcus: convexity: median (weighted)","sulcus: convexity: median absolute deviation (weighted)","sulcus: convexity: mean (weighted)","sulcus: convexity: standard deviation (weighted)","sulcus: convexity: skew (weighted)","sulcus: convexity: kurtosis (weighted)","sulcus: convexity: lower quartile (weighted)","sulcus: convexity: upper quartile (weighted)","sulcus: thickness: median (weighted)","sulcus: thickness: median absolute deviation (weighted)","sulcus: thickness: mean (weighted)","sulcus: thickness: standard deviation (weighted)","sulcus: thickness: skew (weighted)","sulcus: thickness: kurtosis (weighted)","sulcus: thickness: lower quartile (weighted)","sulcus: thickness: upper quartile (weighted)","sulcus spectrum","sulcus spectrum (normalized)"
"0","[-7.7135468108385865, 64.27603841805033, 34.74792564247933]","[-4.956647274811416, 52.46590759668563, 8.097847135260334]","1775.8347451","-1.43995","1.24464","-1.4888218683","5.17459320199","-13.3070270306","80.5025674397","-2.75166","-0.267138","5.480145","1.997085","5.82695848658","8.17332290224","-8.84759219823","139.487450662","3.59597","7.58364","0.144113","0.046842","0.152813190923","0.0046835098451","-0.000145829623058","4.70628703064e-05","0.0996662","0.195969","0.156483881176","0.222111202776","0.145148026551","0.107230561224","-0.0392505598848","0.0331225408388","-0.0759842544794","0.373760789633","2.56354284286","0.275079727173","2.57205915885","0.164426057707","0.0166132990861","0.0864264625691","2.29202675819","2.84496307373","",""
"1","[-19.676649447769627, 35.07464612484556, 56.90815139782537]","[-16.86672931867793, 35.39321810722178, 38.54835725115586]","1331.5022443","-1.52478","1.57316","-1.42807799588","7.13857998026","-18.5450762312","122.866309924","-3.09794","0.0495811","6.23703","2.767695","6.90269022408","15.1407344004","-30.7011936869","410.595943943","3.77593","9.4955775","0.167786","0.065223","0.181280658061","0.00852512272724","-0.000444846146201","0.000131431646259","0.10650825","0.24413","0.126740112901","0.230367965996","0.169139759379","0.137438731174","-0.0383912427726","0.0444244566956","-0.0766624063253","0.403081178665","2.56200504303","0.331487894058","2.53969766429","0.240507029965","0.0306563832041","0.158697147045","2.22981894016","2.89103841782","",""
"2","[-37.81800580182874, 34.260232186570974, 39.05591676630104]","[-33.58358854728347, 28.629674332330314, 23.88296906738358]","611.6668188","-1.49863","1.78216","-1.56897128209","7.89588901667","-25.1153985514","197.864753771","-3.22023","0.331949","9.18206","3.37234","9.14470523587","19.3591271903","-69.4443394762","799.977245637","5.75703","12.39415","0.249011","0.095239","0.248523814916","0.0141184166168","-0.00142815538915","0.000401226800676","0.151338","0.342774","-0.119505286217","0.289213642478","-0.0856626426163","0.219314092118","-0.103198163823","0.125041637803","-0.378780066967","0.198693010956","2.49178886414","0.303040504456","2.47342028681","0.202436853392","0.0152618663883","0.103148315225","2.16812944412","2.78650093079","",""
"3","[-34.063636493142, 18.00938264470609, 38.57667251869506]","[-30.7151586648426, 13.721847351795006, 30.504983694938094]","5383.7832894","-2.84425","1.950481","-2.78295339652","10.3649664731","-37.5227425266","270.80603515","-4.77487","-0.874007","9.52067","4.49224","10.355583758","41.1754754634","-114.832472928","3441.69438349","5.34602","14.5298","0.250823","0.106599","0.274329355509","0.0256144892178","-0.00119594218006","0.00143866460447","0.152964","0.372269","-0.00271040410735","0.390546174953","0.0505251203718","0.389357181755","-0.233690468724","0.349799934276","-0.358024448156","0.430898457766","2.85612535477","0.290095090866","2.81094857474","0.185185695742","0.0296555756958","0.091757352851","2.52479028702","3.11265277863","",""
"4","[-42.197078016059145, -2.9388739147861185, 34.30203602432585]","[-38.919325268349, -6.3060751223448275, 35.78787224530109]","2778.23068","-1.74124","1.89284","-1.67747589489","8.1457950703","-14.5959296738","164.136839244","-3.66121","0.122657","8.96932","4.18649","9.91288365862","33.0099836158","83.7511211541","2624.88972016","5.0955","13.7381","0.228582","0.100681","0.255244274065","0.0208610238437","0.00187851822205","0.00121059144914","0.137873","0.345909","0.00362680922262","0.355421616929","0.0515994300133","0.279156331707","-0.071204960653","0.193664859777","-0.320034921169","0.40309664607","2.36176729202","0.495270729065","2.27455951319","0.46378115378","-0.0496144118169","0.45074885883","1.75066745281","2.81017255783","",""
"5","[-35.08791362046603, -21.75178618557282, 35.58168303164324]","[-33.060202026574125, -22.985436930193472, 45.01390081484656]","3425.5878585","-1.60704","1.5882734","-1.55881009779","6.66331973698","-13.4671136135","118.459993357","-3.24092","-0.0439567","7.3424","3.27311","8.59890409469","29.2112738866","114.685519145","2911.3598317","4.4399","11.3065","0.190399","0.08041","0.223620454286","0.0188415038543","0.00218489527157","0.00130095584251","0.11971","0.290719","0.0133162280545","0.300734355114","0.0439744661213","0.212862721852","-0.064099881538","0.117121893469","-0.27017685771","0.340041071177","2.22831368446","0.431477427483","2.22998551808","0.334928944054","0.078627899518","0.276851084498","1.79209578037","2.65245056152","",""
"6","[-30.59165046450026, -43.964821111640894, 26.313958676532675]","[-29.752232756287157, -46.64671784535786, 46.97836080046993]","3570.0529151","-1.81171","1.88142","-1.77733781349","8.86786250004","-24.8521158075","197.99528598","-3.73458","0.0385323","9.3396","4.2983","10.1347122365","34.3585170703","-62.6320408348","2327.47524799","5.35584","14.0934","0.238377","0.103627","0.25947839602","0.0206852732987","-0.000823477333874","0.000844510329182","0.143198","0.355824","0.0570881441236","0.361833579838","0.141149637427","0.319988286449","-0.107098359931","0.213619685655","-0.261205583811","0.488706558943","2.18079638481","0.292108535767","2.16613493149","0.190273343537","0.0149582516881","0.107765218216","1.8817294836","2.46810007095","",""
"7","[-41.847880338692654, -37.15657863051538, 24.088027457888508]","[-39.836589514988766, -40.88989770784814, 42.02456358662915]","1219.2265115","-2.30677","1.883821","-2.30988993457","7.17359148413","-16.0181955581","118.776411393","-4.31273","-0.562144","8.88142","4.31103","9.83419521484","31.1561878987","-31.8989925577","1751.49716611","5.09905","14.1704","0.234312","0.106851","0.253452734071","0.0186564999928","-0.000424974301113","0.000641945677889","0.135517","0.355869","-0.10309125483","0.326616838574","-0.0560743510932","0.256592467042","-0.0839584980941","0.165189256693","-0.389028131962","0.268477857113","2.48309254646","0.225306749344","2.48149468331","0.132344882939","0.010406634611","0.0580353111496","2.26023483276","2.70912790298","",""
"8","[-48.8152224757464, -21.517334611631718, 12.969776012454881]","[-45.71191543695825, -30.843558496362174, 26.07536854585804]","1735.6044251","-2.01266","2.149209","-2.2186620388","10.8470641752","-42.3647031618","297.704807724","-4.47463","-0.113125","10.6534","4.95508","11.6749483727","48.3348246087","-81.8298513232","4882.12768009","6.17508","16.1857","0.281667","0.125386","0.307899285137","0.0302390657995","-0.00101117295523","0.00190714587408","0.1685","0.426991","0.0237046852708","0.344830103219","0.0742071183025","0.312068347234","-0.129037608071","0.216424582772","-0.303734302521","0.384818136692","2.59866428375","0.331711769104","2.59672890624","0.212215028634","0.050169157362","0.119677162641","2.26515197754","2.92753171921","",""
"9","[-34.96836053358057, -54.91449773346827, -6.913290365208926]","[-34.26494185341892, -69.03220196700947, 24.27824322811087]","3319.7499643","-1.86753","1.517364","-1.66766896981","7.71908613203","-17.7914411612","155.818204376","-3.3059275","-0.219702","7.9555","3.20354","8.63402335129","22.3459847605","-20.7635812604","1135.49316334","5.01197","11.614125","0.210137","0.080024","0.223935479193","0.0132599704639","-0.000252166531472","0.000420921797297","0.135278","0.297546","0.125528350472","0.299160972238","0.152978160189","0.219110188763","-0.0866496389275","0.118640715158","-0.154954224825","0.443315953016","2.21156692505","0.267723083496","2.21105491282","0.156710379505","0.0150090890733","0.0678342597813","1.95085525513","2.48879432678","",""
